filename,song_title,artist,genre
Miguel_Angel_Albentosa_Bó_(MaaBo)_-_Vistas_al_Mar_(piano)_spectrogram.png,Miguel Angel Albentosa Bó (MaaBo),Vistas al Mar (piano),Instrumental / Piano
My_Bad_-_All_My_Friends_Hate_Me_spectrogram.png,My Bad,All My Friends Hate Me,Indie Rock
Crows_-_Hypnocrates_spectrogram.png,Crows,Hypnocrates,Electronic
Anyway_-_the.madpix.project_spectrogram.png,Anyway,the.madpix.project,Electronic
ChoiceTune_-_Get_Crazy_spectrogram.png,ChoiceTune,Get Crazy,Electronic
Phonon_-_zeropage_spectrogram.png,Phonon,zeropage,Electronic
Lucky_and_Ugly_-_freshbodyshop_spectrogram.png,Lucky and Ugly,freshbodyshop,Rock / Alternative
Vinyl_Blast_-_Don't_Kill_Me_-_Vinyl_Blast_spectrogram.png,Vinyl Blast - Don't Kill Me,Vinyl Blast,Electronic
Heart_Attack_-_West_Coast_Weekend_spectrogram.png,Heart Attack,West Coast Weekend,Indie Rock
PacificDrive_-_Heat_Wave_spectrogram.png,PacificDrive,Heat Wave,Electronic / Synthwave
Ways_(Storm_is_Near)_-_SINGLETON_spectrogram.png,Ways (Storm is Near),SINGLETON,Rock
Mackenzie_-_Always_the_Alibi_spectrogram.png,Mackenzie,Always the Alibi,Indie Pop
King_or_pawn_-_Timm_Thaler_spectrogram.png,King or pawn,Timm Thaler,Rock
Honey_-_Paxton_Pennington_spectrogram.png,Honey,Paxton Pennington,Pop
Don't_Care_About_You_-_Square_a_Saw_spectrogram.png,Don't Care About You,Square a Saw,Pop
The_Fire_That_Burns_Inside_-_Lower_Loveday_spectrogram.png,The Fire That Burns Inside,Lower Loveday,Indie Rock
GET_IT_-_Archangeur_spectrogram.png,GET IT,Archangeur,Hip-Hop
Photonnia_-_Inception_spectrogram.png,Photonnia,Inception,Electronic
Impression_-_MCKOOL (3)_spectrogram.png,Impression,MCKOOL (3),Electronic
Nightfall_-_ONSTEAD_spectrogram.png,Nightfall,ONSTEAD,Electronic
Bohemia_-_Bellevue_spectrogram.png,Bohemia,Bellevue,Indie Rock
Vinyl_Blast_-_Don't_Kill_Me_-_Vinyl_Blast (1)_spectrogram.png,Vinyl Blast - Don't Kill Me,Vinyl Blast (1),Electronic
Filename,Song Title,Artist,Genre
Heart_of_a_Lion_(Leo)_-_RENAE_spectrogram.png,Heart of a Lion (Leo),RENAE,Pop / R&B
Igor_Pumphonia_-_Desire_-_ChillRecords_spectrogram.png,Igor Pumphonia - Desire,ChillRecords,Electronic / Chill
RENAE_-_Glow_in_the_Dark_(Scorpio)_spectrogram.png,RENAE,Glow in the Dark (Scorpio),Pop / R&B
Always_-_THE_DLX (1)_spectrogram.png,Always,THE DLX (1),Pop
Stay_Up_-_All_My_Friends_Hate_Me (1)_spectrogram.png,Stay Up,All My Friends Hate Me (1),Indie Rock
In_the_clouds_-_Jacques_NEUEN_spectrogram.png,In the clouds,Jacques NEUEN,Ambient
Lo-fi_Type_Beat_-_PeryCreep_spectrogram.png,Lo-fi Type Beat,PeryCreep,Lo-fi / Hip-Hop
Overcome_Reality_-_freshbodyshop_spectrogram.png,Overcome Reality,freshbodyshop,Rock / Alternative
Good_Man_-_Curtis_Holland_Jr._feat._Kevin_Edlin_spectrogram.png,Good Man,Curtis Holland Jr. feat. Kevin Edlin,Pop
Neon_Movement_-_U_Make_Me_spectrogram.png,Neon Movement,U Make Me,Electronic / Synthwave
Barry_-_Mud_On_Road__ENGINEER_(MASTER)_v2_-_UNSCANNABLE_spectrogram.png,Barry - Mud On Road  ENGINEER (MASTER) v2,UNSCANNABLE,Rock
Laurens_Song_-_Caleb_Lemond_spectrogram.png,Laurens Song,Caleb Lemond,Folk
OUT_OF_THE_WAY_-_David_Ryan_spectrogram.png,OUT OF THE WAY,David Ryan,Rock
In_the_heart_(piano_version)_-_Syrgi_Romeo_spectrogram.png,In the heart (piano version),Syrgi Romeo,Instrumental / Piano
The_Sean_Moon_Band_-_Out_Here_spectrogram.png,The Sean Moon Band,Out Here,Rock
Carbon_Casca_-_Coming_Up_(Feat._Gee_Flaggz)_-_Carbon_Casca_spectrogram.png,Carbon Casca - Coming Up (Feat. Gee Flaggz),Carbon Casca,Hip-Hop
Childsanonymous_-_TRENCHES_spectrogram.png,Childsanonymous,TRENCHES,Hip-Hop
Buck_Slenderly_-_Balance_(Produced_by_Lazuli)_spectrogram.png,Buck Slenderly,Balance (Produced by Lazuli),Hip-Hop
Erich_kommt_rein_-_Coehn_Foehrb_spectrogram.png,Erich kommt rein,Coehn Foehrb,Hip-Hop
Gölden_Palace_-_On_The_Line (1)_spectrogram.png,Gölden Palace,On The Line (1),Indie Rock
This_Is_War_-_AIRE_spectrogram.png,This Is War,AIRE,Electronic
A_Step_Closer_To_Your_Room_-_Ping_Pong_Club_spectrogram.png,A Step Closer To Your Room,Ping Pong Club,Indie Pop
Graveyard_-_The_Liquid_Kitchen_(3)_spectrogram.png,Graveyard,The Liquid Kitchen (3),Alternative Rock
Kiss_Me_-_Liv_Margaret_spectrogram.png,Kiss Me,Liv Margaret,Indie Pop
Dreadpool_-_Let_The_Sunshine_In_spectrogram.png,Dreadpool,Let The Sunshine In,Hip-Hop
Ashot_Danielyan_Composer_-_Airy_Morning_(Meditative_Relaxing)_spectrogram.png,Ashot Danielyan Composer,Airy Morning (Meditative Relaxing),Ambient / Meditation
Breath_of_Wind_-_Decision_Space_spectrogram.png,Breath of Wind,Decision Space,Ambient / Electronic
Let_Go_-_Virgin_Joy (1)_spectrogram.png,Let Go,Virgin Joy (1),Pop
Lady_Bee_-_The_NUV_spectrogram.png,Lady Bee,The NUV,Electronic
Every_Moment_-_Arto_Kumanto_(2)_spectrogram.png,Every Moment,Arto Kumanto (2),Electronic
The_Reason_-_Hakim_Bar_Veg_Elk_spectrogram.png,The Reason,Hakim Bar Veg Elk,Hip-Hop
Legends_-_FantomStudio_spectrogram.png,Legends,FantomStudio,Electronic
Collective_-_Branton_spectrogram.png,Collective,Branton,Electronic
Filename,Song Title,Artist,Genre
Emptiness_(Original_Mix)_-_Sun_Spot_(3)_spectrogram.png,Emptiness (Original Mix),Sun Spot (3),Ambient
Runaway_-_Back_On_Earth_spectrogram.png,Runaway,Back On Earth,Alternative Rock
Tapetunes_-_Sea_Breath_spectrogram.png,Tapetunes,Sea Breath,Ambient / Electronic
Deep_Meditation_-_Stock_Studio (1)_spectrogram.png,Deep Meditation,Stock Studio (1),Ambient
Clair_De_Lune_-_Aurbanni_spectrogram.png,Clair De Lune,Aurbanni,Classical
little_old_sweet_town_-_Blooming_Memories_spectrogram.png,little old sweet town,Blooming Memories,Alternative Rock
Oasis_-_Liv_Margaret (2)_spectrogram.png,Oasis,Liv Margaret (2),Indie Pop
Lyrical_Romantic_Piano_-_michael_lerm_spectrogram.png,Lyrical Romantic Piano,michael lerm,Instrumental / Piano
Caught-off-guard_-_PTOWN1200_spectrogram.png,Caught-off-guard,PTOWN1200,Electronic
The_stars_are_shining_bright_-_Bob_Rocket_music_(2)_spectrogram.png,The stars are shining bright,Bob Rocket music (2),Folk / Acoustic
To_Care_-_Arto_Kumanto_(2)_spectrogram.png,To Care,Arto Kumanto (2),Folk
Get_the_flow_-_Beat_scientist_spectrogram.png,Get the flow,Beat scientist,Hip-Hop
Pourin_Moe_by_The_East_Side_Hustlas_-_cartel_spectrogram.png,Pourin Moe by The East Side Hustlas,cartel,Hip-Hop
10-Welan_Edvee_-_E.R.P.L.V_-_Welan_Edvee_(3)_spectrogram.png,10-Welan Edvee - E.R.P.L.V,Welan Edvee (3),Electronic
The_Flood_-_BLC_MIRROR_CLB_spectrogram.png,The Flood,BLC MIRROR CLB,Electronic
Learn_From_Me_-_Jonathan_Dimmel_spectrogram.png,Learn From Me,Jonathan Dimmel,Pop
The_Girl_I_Haven't_Met_-_DreamHeaven_spectrogram.png,The Girl I Haven't Met,DreamHeaven,Ambient / Electronic
If_I_could_go_back_-_enrico.ciabattiagmail.com_spectrogram.png,If I could go back,enrico.ciabattiagmail.com,Instrumental
Venu_d'ailleurs_-_Laurent_Danis_spectrogram.png,Venu d'ailleurs,Laurent Danis,Instrumental / Ambient
The_Flood_-_BLC_MIRROR_CLB (2)_spectrogram.png,The Flood,BLC MIRROR CLB (2),Electronic
"I_Got_Your_Back,_Kid_feat._Howi_Spangler_-_Wes_Anderson_spectrogram.png","I Got Your Back, Kid feat. Howi Spangler ",Wes Anderson,Pop
See_You_Again_-_Kavi_Jezzie_Hockaday_spectrogram.png,See You Again,Kavi Jezzie Hockaday,Folk / Acoustic
Headlights_-_Dan_Plants_spectrogram.png,Headlights,Dan Plants,Electronic
Don’t_Talk_to_Me_-_Emily_and_the_Blackouts_spectrogram.png,Don’t Talk to Me,Emily and the Blackouts,Rock
Love_-_lillywolf_spectrogram.png,Love,lillywolf,Alternative Rock
Emptiness_(Original_Mix)_-_Sun_Spot_(3) (1)_spectrogram.png,Emptiness (Original Mix),Sun Spot (3) (1),Ambient
Travel_-_Soul-Prod_spectrogram.png,Travel - Soul,Prod,Soul / R&B
Вдвоём_-_Anna_Niagara_(2)_spectrogram.png,Вдвоём,Anna Niagara (2),Pop
Chances_-_The_Devil_Music_Co._(2)_spectrogram.png,Chances,The Devil Music Co. (2),Rock
Sleep_-_Spa_Relax_spectrogram.png,Sleep,Spa Relax,Ambient / Relaxation
Hold_Me_-_Pokki_DJ_(2)_spectrogram.png,Hold Me,Pokki DJ (2),Electronic
Palmo_X_-_Monday_-_Palmo_X_spectrogram.png,Palmo X - Monday,Palmo X,Electronic
MCO_-_Universe_-_Marco_Margna_spectrogram.png,MCO - Universe,Marco Margna,Electronic
Confession_-_Quesabe_spectrogram.png,Confession,Quesabe,Electronic
Siarhei_Korbut_-_Sleepy_Drops_spectrogram.png,Siarhei Korbut,Sleepy Drops,Ambient
lofi_hip_hop_trevel_relax_-_Sergei_(4)_spectrogram.png,lofi hip hop trevel relax,Sergei (4),Lo-fi Hip Hop
In_Tune_(J._Glaze_Remix)_-_Kellee_Maize_spectrogram.png,In Tune (J. Glaze Remix),Kellee Maize,Electronic
Mahidevran_Rock_Band_-_Mahidevran_-_Book_of_eternity (1)_spectrogram.png,Mahidevran Rock Band - Mahidevran,Book of eternity (1),Rock
The_Mountain_-_Meditation_spectrogram.png,The Mountain,Meditation,Ambient / Meditation
MokkaMusic_-_Club_Future_House_spectrogram.png,MokkaMusic,Club Future House,Electronic / House
Desert_Gardens_-_Kosash_spectrogram.png,Desert Gardens,Kosash,Instrumental
Mitch_for_Mayor_-_Unfreeable_spectrogram.png,Mitch for Mayor,Unfreeable,Rock
Graveyard_-_The_Liquid_Kitchen_(3) (2)_spectrogram.png,Graveyard,The Liquid Kitchen (3) (2),Alternative Rock
Ashot_Danielyan_Composer_-_Airy_Day_In_Colombo_(Meditative_Relaxing)_spectrogram.png,Ashot Danielyan Composer,Airy Day In Colombo (Meditative Relaxing),Ambient / Meditation
Double_Lyrical_-_Little_Crazy_(WAV)_-_Double_Lyrical_spectrogram.png,Double Lyrical - Little Crazy (WAV),Double Lyrical,Hip-Hop
LA_Scallywag_-_Hypotenuse_spectrogram.png,LA Scallywag,Hypotenuse,Electronic
This_Lo-Fi_-_Perfect_Choice_Stuff_spectrogram.png,This Lo-Fi,Perfect Choice Stuff,Lo-fi
Chill_Ambient_Atmosphere_-_Dmitriy_(2) (1)_spectrogram.png,Chill Ambient Atmosphere,Dmitriy (2) (1),Ambient
Two_-_Kinematic (1)_spectrogram.png,Two,Kinematic (1),Indie Rock
Chains_-_Lower_Loveday (1)_spectrogram.png,Chains,Lower Loveday (1),Indie Rock
African_Dance_-_T-Trider_(2)_spectrogram.png,African Dance - T,Trider (2),World / African
"Contener_-_Papicherry_ft._Kali_D,_Jtoonz,_Minor_Tunez_&_Cmelody_-_Papicherry_spectrogram.png","Contener - Papicherry ft. Kali D, Jtoonz, Minor Tunez & Cmelody ",Papicherry,Hip-Hop
Save_Me_-_Back_On_Earth_spectrogram.png,Save Me,Back On Earth,Alternative Rock
Jplucky_-_Shuffle_for_K.M_spectrogram.png,Jplucky,Shuffle for K.M,Instrumental
Feito_-_Lessky_spectrogram.png,Feito,Lessky,Latin / Pop
Eyez_On_The_Prize_-_Exmiranda_spectrogram.png,Eyez On The Prize,Exmiranda,Hip-Hop
Graveyard_-_The_Liquid_Kitchen_(3) (1)_spectrogram.png,Graveyard,The Liquid Kitchen (3) (1),Alternative Rock
Drop_-_Bob_Rocket_music_(2)_spectrogram.png,Drop,Bob Rocket music (2),Electronic
Depth_of_Night_-_TransistorBuddha_spectrogram.png,Depth of Night,TransistorBuddha,Ambient
Flowers_(From_Her_Gun)_-_Red_Crickets_spectrogram.png,Flowers (From Her Gun),Red Crickets,Alternative Rock
Butterfly_-_Cafe_Del_Chillia_spectrogram.png,Butterfly,Cafe Del Chillia,Electronic / Chill
Safety_Belt_-_The_Devil_Music_Co._(2)_spectrogram.png,Safety Belt,The Devil Music Co. (2),Rock
Facial_-_Solxis_(3)_spectrogram.png,Facial,Solxis (3),Electronic
Heart_of_Winter_-_Curtis_Holland_Jr._feat._Kevin_Edlin_spectrogram.png,Heart of Winter,Curtis Holland Jr. feat. Kevin Edlin,Pop
Aminolen_-_Tears_spectrogram.png,Aminolen,Tears,Electronic
CHEMICALS_-_Glass_Violet (1)_spectrogram.png,CHEMICALS,Glass Violet (1),Alternative Rock
LEEAAV_-_IN_THIS_DARK_spectrogram.png,LEEAAV,IN THIS DARK,Electronic
Gnosis_Hardware_-_Professor_Kliq (2)_spectrogram.png,Gnosis Hardware,Professor Kliq (2),Electronic
Luck's_All_Gone_-_The_Devil_Music_Co._(2)_spectrogram.png,Luck's All Gone,The Devil Music Co. (2),Rock
Syberia_-_GroovyVoxx_spectrogram.png,Syberia,GroovyVoxx,Electronic
ARVIVAL_-_Sunset_Cafe_spectrogram.png,ARVIVAL,Sunset Cafe,Electronic / Chill
Crystalline_-_Ping_Pong_Club_spectrogram.png,Crystalline,Ping Pong Club,Indie Pop
Rocket_Man_-_Michael_Ellis (1)_spectrogram.png,Rocket Man,Michael Ellis (1),Pop
Kentix_-_Émotion_-_Kentix_spectrogram.png,Kentix - Émotion,Kentix,Pop
Abigail_Christine_Hill_-_Backstabber_spectrogram.png,Abigail Christine Hill,Backstabber,Pop
High_-_M.E.Dx_spectrogram.png,High,M.E.Dx,Electronic
Same_Old_-_Bellevue_spectrogram.png,Same Old,Bellevue,Indie Rock
RoadFighters_-_SYNTHESIA_(3)_spectrogram.png,RoadFighters,SYNTHESIA (3),Electronic / Synthwave
Arna_Maeve_-_Use (1)_spectrogram.png,Arna Maeve,Use (1),Indie Pop
Shon_Tha_Phenom_-_Blink_Of_An_Eye_spectrogram.png,Shon Tha Phenom,Blink Of An Eye,Hip-Hop
Chill_Ambient_Atmosphere_-_Dmitriy_(2)_spectrogram.png,Chill Ambient Atmosphere,Dmitriy (2),Ambient
Eternal_Jungle_-_steve.e_spectrogram.png,Eternal Jungle,steve.e,Electronic
Vito_De_Curl_-_Bluesy_Bucket_By_the_Rolls (1)_spectrogram.png,Vito De Curl,Bluesy Bucket By the Rolls (1),Blues Rock
Limitless_-_PaulWernerMusic_spectrogram.png,Limitless,PaulWernerMusic,Electronic
Oyster_Wave_-_Wakerhouse_spectrogram.png,Oyster Wave,Wakerhouse,Electronic
Nothing_Less_-_Caleb_Lemond_spectrogram.png,Nothing Less,Caleb Lemond,Folk
Preacher_-_PappyBachelor_(2)_spectrogram.png,Preacher,PappyBachelor (2),Rock
Ambient_Harp_-_Raw_Vibrations_spectrogram.png,Ambient Harp,Raw Vibrations,Ambient
Em_-_Goom_spectrogram.png,Em,Goom,Electronic
Ways_(Storm_is_Near)_-_SINGLETON (1)_spectrogram.png,Ways (Storm is Near),SINGLETON (1),Rock
Life_in_motion_-_Index_(4)_spectrogram.png,Life in motion,Index (4),Electronic
Show_Me_-_AIRE (2)_spectrogram.png,Show Me,AIRE (2),Electronic
Disobedience_-_Gent_spectrogram.png,Disobedience,Gent,Rock
Paradeigma_-_We_Choose_Proven_(kbkbts._Remix)_spectrogram.png,Paradeigma,We Choose Proven (kbkbts. Remix),Electronic
Chains_-_Lower_Loveday (2)_spectrogram.png,Chains,Lower Loveday (2),Indie Rock
Mr.Aleks_-_Tech_House_Future_spectrogram.png,Mr.Aleks,Tech House Future,Electronic / House
The_Spin_Wires_-_Goodbar_Good_Night_spectrogram.png,The Spin Wires,Goodbar Good Night,Punk Rock
Always_Leaving_-_Color_Out_spectrogram.png,Always Leaving,Color Out,Rock
Early_Morning_-_B3B0CK_spectrogram.png,Early Morning,B3B0CK,Electronic
Duro_Mambo-_Mardito_Licor__(Cover)_-_DURO_MAMBO_spectrogram.png,Duro Mambo- Mardito Licor  (Cover),DURO MAMBO,Latin
Roentgen_-_Sonic_Radiation_(2)_spectrogram.png,Roentgen,Sonic Radiation (2),Electronic
She_Bleeds_-_Unfactory_spectrogram.png,She Bleeds,Unfactory,Electronic
OnesteP_-_Page_Of_Agony_-_OnesteP_(2)_spectrogram.png,OnesteP - Page Of Agony,OnesteP (2),Electronic
FROSTiE_-_G-CODE_-_FROSTiE_spectrogram.png,FROSTiE - G-CODE,FROSTiE,Hip-Hop
Not_My_Problem_-_All_My_Friends_Hate_Me (2)_spectrogram.png,Not My Problem,All My Friends Hate Me (2),Indie Rock
Alexiaction_-_Meditation (1)_spectrogram.png,Alexiaction,Meditation (1),Ambient / Meditation
African_Safari_-_Alexiaction_spectrogram.png,African Safari,Alexiaction,World / African
Hidden_Hand_-_Tab_(2)_spectrogram.png,Hidden Hand,Tab (2),Electronic
Drum_and_Bass_-_Peanut_spectrogram.png,Drum and Bass,Peanut,Electronic
The_Countdown_Pt_II_-_The_Victory_Drive_spectrogram.png,The Countdown Pt II,The Victory Drive,Rock
INSECTOID_-_Elric_Virtuoso_spectrogram.png,INSECTOID,Elric Virtuoso,Electronic
When_You_Kneel_-_Studio_in_the_Sticks_(2)_spectrogram.png,When You Kneel,Studio in the Sticks (2),Rock
Luck's_All_Gone_-_The_Devil_Music_Co._(2)_spectrogram.png,Luck's All Gone,The Devil Music Co. (2),Rock
Amina_-_P_Steve_Officiel_(3)_spectrogram.png,Amina,P Steve Officiel (3),World / African
Rebels_With_A_Cause_(Aries)_-_RENAE_spectrogram.png,Rebels With A Cause (Aries),RENAE,Pop / R&B
Sunseed_(feat.Jade_Gritty)_-_Tab_(2)_spectrogram.png,Sunseed (feat.Jade Gritty),Tab (2),Electronic
OnesteP_-_Page_Of_Agony_-_OnesteP_(2) (1)_spectrogram.png,OnesteP - Page Of Agony,OnesteP (2) (1),Electronic
Stuck_-_Jahz_spectrogram.png,Stuck,Jahz,R&B
Toca_-_Beliano_Ad_spectrogram.png,Toca,Beliano Ad,Latin
All_Novels_-_HonH_spectrogram.png,All Novels,HonH,Electronic
Depths_of_a_Soul_-_PaulWernerMusic_spectrogram.png,Depths of a Soul,PaulWernerMusic,Cinematic
Ethereal_Ambient_Background_-_Sergey_Gulevich_spectrogram.png,Ethereal Ambient Background,Sergey Gulevich,Ambient
alessandro_simonetto_satie_early_and_esoteric_works_i_09_trois_gnossiennes_i._lent_-_Aleksandra_Mikulska_spectrogram.png,alessandro simonetto satie early and esoteric works i 09 trois gnossiennes i. lent,Aleksandra Mikulska,Classical
Early_-_Shon_Tha_Phenom_spectrogram.png,Early,Shon Tha Phenom,Hip-Hop
Good_Old_Spider_-_white.owl_spectrogram.png,Good Old Spider,white.owl,Electronic
Mahidevran_-_Phototaxis_-_Mahidevran_spectrogram.png,Mahidevran - Phototaxis,Mahidevran,Rock
The_Jazz_-_Aurbanni_spectrogram.png,The Jazz,Aurbanni,Jazz
РТУТЬ_-_Хьюстон_-__(2712)_spectrogram.png,РТУТЬ - Хьюстон,(2712),Pop
Grumpynora_-_Ocean_meditation_spectrogram.png,Grumpynora,Ocean meditation,Ambient / Meditation
I'm_Sorry_-_The_Devil_Music_Co._(2)_spectrogram.png,I'm Sorry,The Devil Music Co. (2),Rock
Distorted_reality_-_zero-project_spectrogram.png,Distorted reality - zero,project,Ambient
Sekosh_-_Day_Dream_spectrogram.png,Sekosh,Day Dream,Electronic / Chill
Tell_the_Time_-_Exmiranda_spectrogram.png,Tell the Time,Exmiranda,Pop
Restful_-_Solxis_(3)_spectrogram.png,Restful,Solxis (3),Ambient
Sayok_-_Echoes_from_Afar_spectrogram.png,Sayok,Echoes from Afar,Electronic / Ambient
Glass_House_-_Rxbyn_spectrogram.png,Glass House,Rxbyn,R&B
Rules_Don't_Apply_-_Emerald_Park_spectrogram.png,Rules Don't Apply,Emerald Park,Indie Rock
Daydreamer_-_Stefan_Kartenberg_spectrogram.png,Daydreamer,Stefan Kartenberg,Ambient
Reminisce_feat._Blends.One_&_Chemist_(Prod._Blends.One)_-_El_J_spectrogram.png,Reminisce feat. Blends.One & Chemist (Prod. Blends.One),El J,Hip-Hop
