MAMA_AFRICA_-_petite_viking_spectrogram.png,MAMA AFRICA,petite viking,World / African
Mama_Cried_-_Niki_J_Crawford_-_The_Second_Truth_-_Niki_J_Crawford_spectrogram.png,Mama Cried - Niki J Crawford - The Second Truth,Niki J Crawford,Soul / R&B
Manfred_Merkel_-_Brighter_Than_The_Sky_spectrogram.png,Manfred Merkel,Brighter Than The Sky,Pop
Man_in_the_Window_-_Michael_Ellis (1)_spectrogram.png,Man in the Window,Michael Ellis (1),Pop
Man_in_the_Window_-_Michael_Ellis_spectrogram.png,Man in the Window,Michael Ellis,Pop
Maravilha_-_boomboombeckett_spectrogram.png,Maravilha,boomboombeckett,Electronic
March_for_a_sad_banshee_-_mister.m_spectrogram.png,March for a sad banshee,mister.m,Instrumental / Experimental
Marc_Corominas_Pujadó_-_Blossom_Rush_spectrogram.png,Marc Corominas Pujadó,Blossom Rush,Electronic
Marigold_-_Sonic_Wash_spectrogram.png,Marigold,Sonic Wash,Alternative Rock
Marine_Drive_-_Tuesday_in_Japan_spectrogram.png,Marine Drive,Tuesday in Japan,Indie Rock
Marshawn_Lynch_-_Uni_BLK_spectrogram.png,Marshawn Lynch,Uni BLK,Hip-Hop
Mauvaise_Affaire_(album_v.)_-_NoSaBe_spectrogram.png,Mauvaise Affaire (album v.),NoSaBe,Pop
Maybe_Its_Alright_-_Pure_Mids_spectrogram.png,Maybe Its Alright,Pure Mids,Indie Pop
Mazurka___Classical_Piano_Music_-_The_Piano_Lady_spectrogram.png,Mazurka   Classical Piano Music,The Piano Lady,Classical / Piano
MCO_-_Universe_-_Marco_Margna_spectrogram.png,MCO - Universe,Marco Margna,Electronic
MCO_Feat_Eliisa_K_-_Just_Me_And_You_-_Marco_Margna_spectrogram.png,MCO Feat Eliisa K - Just Me And You,Marco Margna,Electronic
Meditate_Atmosphere_-_Dmitriy_(2)_spectrogram.png,Meditate Atmosphere,Dmitriy (2),Ambient / Meditation
Meditation_-_Alexander_Lyamin_spectrogram.png,Meditation,Alexander Lyamin,Ambient
Meditation_Background_-_cleanmindstudio (1)_spectrogram.png,Meditation Background,cleanmindstudio (1),Ambient / Meditation
Meditation_Background_-_cleanmindstudio_spectrogram.png,Meditation Background,cleanmindstudio,Ambient / Meditation
Meditation_Healing_432Hz_-_AudioWizard (1)_spectrogram.png,Meditation Healing 432Hz,AudioWizard (1),Ambient / Healing
Meditation_Healing_432Hz_-_AudioWizard_spectrogram.png,Meditation Healing 432Hz,AudioWizard,Ambient / Healing
Mediterranean_nostalgia_-_Luis_Zunel_spectrogram.png,Mediterranean nostalgia,Luis Zunel,Instrumental / World
Megan_Graney_-_Megan_Graney_-_So_It_Goes (1)_spectrogram.png,Megan Graney - Megan Graney,So It Goes (1),Indie Folk
Megan_Graney_-_Megan_Graney_-_So_It_Goes_spectrogram.png,Megan Graney - Megan Graney,So It Goes,Indie Folk
Mellow_Dreams_-_Mindfull_spectrogram.png,Mellow Dreams,Mindfull,Ambient / Lo-fi
Melodía_para_María_1_-_carlos.rives_spectrogram.png,Melodía para María 1,carlos.rives,Instrumental / Piano
Melts_Away_-_Michael_C._Jones_(3)_spectrogram.png,Melts Away,Michael C. Jones (3),Pop
Memories_-_Anna_Inspiration_spectrogram.png,Memories,Anna Inspiration,Instrumental
Memories_I_-_Asa_Taura (1)_spectrogram.png,Memories I,Asa Taura (1),Electronic
Memories_I_-_Asa_Taura_spectrogram.png,Memories I,Asa Taura,Electronic
Metamorphosis_-_project.divinity (1)_spectrogram.png,Metamorphosis,project.divinity (1),Electronic
Metamorphosis_-_project.divinity_spectrogram.png,Metamorphosis,project.divinity,Electronic
Metric_-_B3B0CK (1)_spectrogram.png,Metric,B3B0CK (1),Electronic
Metric_-_B3B0CK_spectrogram.png,Metric,B3B0CK,Electronic
Midnight_Blues_-_BFCmusic_spectrogram.png,Midnight Blues,BFCmusic,Blues
Miguel_Angel_Albentosa_Bó_(MaaBo)_-_Vistas_al_Mar_(piano)_spectrogram.png,Miguel Angel Albentosa Bó (MaaBo),Vistas al Mar (piano),Instrumental / Piano
Millonaro_-__Minor_Tunez_-_Minor_Tunez_(3)_spectrogram.png,Millonaro -  Minor Tunez,Minor Tunez (3),Hip-Hop
Mind_Reader_-_Liv_Margaret_spectrogram.png,Mind Reader,Liv Margaret,Indie Pop
Minimal_Mouse_-_Arto_Kumanto_(2)_spectrogram.png,Minimal Mouse,Arto Kumanto (2),Electronic / Minimal
Miracles_Like_You_-_Explosive_Ear_Candy_spectrogram.png,Miracles Like You,Explosive Ear Candy,Pop Rock
Mit-Rich_-_Chill_Trap_spectrogram.png,Mit-Rich,Chill Trap,Trap / Chill
Mitch_for_Mayor_-_Unfreeable_spectrogram.png,Mitch for Mayor,Unfreeable,Rock
MKHLSDRV_—_Dream_atmosphere_-_SiDBASE_spectrogram.png,MKHLSDRV — Dream atmosphere,SiDBASE,Electronic / Ambient
moi_toi_-_Martin_Doriand_spectrogram.png,moi toi,Martin Doriand,Pop
MokkaMusic_-_Chillwave_Vaporwave (1)_spectrogram.png,MokkaMusic,Chillwave Vaporwave (1),Electronic / Chillwave
MokkaMusic_-_Chillwave_Vaporwave_spectrogram.png,MokkaMusic,Chillwave Vaporwave,Electronic / Chillwave
MokkaMusic_-_Club_Future_House_spectrogram.png,MokkaMusic,Club Future House,Electronic / House
MokkaMusic_-_Drum_and_Bass_with_Flute_spectrogram.png,MokkaMusic,Drum and Bass with Flute,Electronic / Drum and Bass
Molotov_Heart_-_radionowhere (1)_spectrogram.png,Molotov Heart,radionowhere (1),Alternative Rock
Molotov_Heart_-_radionowhere_spectrogram.png,Molotov Heart,radionowhere,Alternative Rock
Money_-_Neon_NiteClub_(2)_spectrogram.png,Money,Neon NiteClub (2),Electronic / Synthpop
Monster_-_Rxbyn_spectrogram.png,Monster,Rxbyn,R&B
Moon_-_Yeiker (1)_spectrogram.png,Moon,Yeiker (1),Electronic
Moon_-_Yeiker_spectrogram.png,Moon,Yeiker,Electronic
Mourning_Day_-_SadMe (1)_spectrogram.png,Mourning Day,SadMe (1),Rock
Mourning_Day_-_SadMe (2)_spectrogram.png,Mourning Day,SadMe (2),Rock
Mourning_Day_-_SadMe_spectrogram.png,Mourning Day,SadMe,Rock
Movement_-_Eliot_Feldman_spectrogram.png,Movement,Eliot Feldman,Pop
Movi_'e_Chiappe_-_padrepyo_spectrogram.png,Movi 'e Chiappe,padrepyo,Electronic
Mozart_Sonata_No.4_K.282_Allegro_-_Aurbanni_spectrogram.png,Mozart Sonata No.4 K.282 Allegro,Aurbanni,Classical
Mr.Aleks_-_Tech_House_Future_spectrogram.png,Mr.Aleks,Tech House Future,Electronic / House
Mr_Peel_-_Let_It_Shine_spectrogram.png,Mr Peel,Let It Shine,Pop
Mute_-_Mos_Emvy_spectrogram.png,Mute,Mos Emvy,Hip-Hop
Mykhailo_Shkredov_-_Desire_spectrogram.png,Mykhailo Shkredov,Desire,Electronic
My_Bad_-_All_My_Friends_Hate_Me_spectrogram.png,My Bad,All My Friends Hate Me,Indie Rock
My_Forever_-_Kaitlyn_Morell_spectrogram.png,My Forever,Kaitlyn Morell,Pop
My_Romeo_(Antonii_Version)_-_Songwriterz_(2)_spectrogram.png,My Romeo (Antonii Version),Songwriterz (2),Pop

Filename,Song Title,Artist,Genre
Napalm_Mourning_-_Tab_(2)_spectrogram.png,Napalm Mourning,Tab (2),Electronic
Nargo_-_Silent_Shores_spectrogram.png,Nargo,Silent Shores,Ambient / Electronic
Nature_World_-_Axel_Antunes_spectrogram.png,Nature World,Axel Antunes,Ambient / World
Nayah_-_hipnotised_-_Nayah_spectrogram.png,Nayah - hipnotised,Nayah,Pop
Neon_Movement_-_U_Make_Me_spectrogram.png,Neon Movement,U Make Me,Electronic / Synthwave
Neon_Sentinel_-_peergynt.lobogris_spectrogram.png,Neon Sentinel,peergynt.lobogris,Electronic
Never_Let_Me_Down_-_Rude_(2)_spectrogram.png,Never Let Me Down,Rude (2),Rock
New_Age_Meditation_Nature_Music_Therapy_-_SweetMedia_spectrogram.png,New Age Meditation Nature Music Therapy,SweetMedia,New Age / Ambient
New_Dream_-_B3B0CK (1)_spectrogram.png,New Dream,B3B0CK (1),Electronic
New_Dream_-_B3B0CK_spectrogram.png,New Dream,B3B0CK,Electronic
Nightfall_-_ONSTEAD_spectrogram.png,Nightfall,ONSTEAD,Electronic
Nightwatcher_-_Vegasis_spectrogram.png,Nightwatcher,Vegasis,Electronic
Night_Life_-_The_Spin_Wires_(2) (1)_spectrogram.png,Night Life,The Spin Wires (2) (1),Punk Rock
Night_Life_-_The_Spin_Wires_(2)_spectrogram.png,Night Life,The Spin Wires (2),Punk Rock
Night_Lounge_(Main)_-_Parler_spectrogram.png,Night Lounge (Main),Parler,Electronic / Lounge
NOBO_-_Honey_-_Noboband_spectrogram.png,NOBO - Honey,Noboband,Pop
noexit._-_I_Just_Can't_Get_Enough_You_spectrogram.png,noexit.,I Just Can't Get Enough You,Electronic
Nordgroove_-_Karma_spectrogram.png,Nordgroove,Karma,Electronic
Nordgroove_-_Samurai_Soul_spectrogram.png,Nordgroove,Samurai Soul,Electronic
Nostal_-_Illusions_spectrogram.png,Nostal,Illusions,Electronic
Nothing_Less_-_Caleb_Lemond_spectrogram.png,Nothing Less,Caleb Lemond,Folk
Not_My_Problem_-_All_My_Friends_Hate_Me (1)_spectrogram.png,Not My Problem,All My Friends Hate Me (1),Indie Rock
Not_My_Problem_-_All_My_Friends_Hate_Me (2)_spectrogram.png,Not My Problem,All My Friends Hate Me (2),Indie Rock
Not_My_Problem_-_All_My_Friends_Hate_Me_spectrogram.png,Not My Problem,All My Friends Hate Me,Indie Rock
No_Es_Capricho_-_El_Corma_spectrogram.png,No Es Capricho,El Corma,Latin
No_Handlebars_-_Wayne_Gordon_spectrogram.png,No Handlebars,Wayne Gordon,Rock
No_Prayers_-_Pokki_DJ_(2) (1)_spectrogram.png,No Prayers,Pokki DJ (2) (1),Electronic
No_Prayers_-_Pokki_DJ_(2) (2)_spectrogram.png,No Prayers,Pokki DJ (2) (2),Electronic
No_Prayers_-_Pokki_DJ_(2)_spectrogram.png,No Prayers,Pokki DJ (2),Electronic
No_Rest_Or_Endless_Rest_-_Lisofv_spectrogram.png,No Rest Or Endless Rest,Lisofv,Electronic
No_Sleep_-_Santa_Sallet_spectrogram.png,No Sleep,Santa Sallet,Hip-Hop
Nuvole_di_pensieri_-_Matteo_Maria_Di_Tommaso_spectrogram.png,Nuvole di pensieri,Matteo Maria Di Tommaso,Instrumental

Filename,Song Title,Artist,Genre
Oasis_-_Liv_Margaret (1)_spectrogram.png,Oasis,Liv Margaret (1),Indie Pop
Oasis_-_Liv_Margaret (2)_spectrogram.png,Oasis,Liv Margaret (2),Indie Pop
Oasis_-_Liv_Margaret (3)_spectrogram.png,Oasis,Liv Margaret (3),Indie Pop
Oasis_-_Liv_Margaret_spectrogram.png,Oasis,Liv Margaret,Indie Pop
Ocean_-_David_Davis_spectrogram.png,Ocean,David Davis,Ambient / Electronic
Ocean_-_THE_SAME_PERSONS_spectrogram.png,Ocean,THE SAME PERSONS,Electronic
Ogi_Feel_the_Beat_-_Tristeza_spectrogram.png,Ogi Feel the Beat,Tristeza,Electronic / Chill
"Ohrwurm_ft._RawMind,_Half_Breed,_Black_Knight_&_BroadFoot_-_Elric_Virtuoso_spectrogram.png","Ohrwurm ft. RawMind, Half Breed, Black Knight & BroadFoot ",Elric Virtuoso,Hip-Hop
Okay_-_Sam_Opoku_spectrogram.png,Okay,Sam Opoku,Alternative R&B
Okay_Boomhauer_-_Always_Waiting (1)_spectrogram.png,Okay Boomhauer,Always Waiting (1),Indie Rock
Okay_Boomhauer_-_Always_Waiting_spectrogram.png,Okay Boomhauer,Always Waiting,Indie Rock
Old_Russian_Waltz_#2___Romantic_Piano_Music_-_The_Piano_Lady_spectrogram.png,Old Russian Waltz #2   Romantic Piano Music,The Piano Lady,Classical / Piano
Oleg_Xaler_-_Lay_Down_spectrogram.png,Oleg Xaler,Lay Down,Electronic
Oleja_Kaba_-_Liberation_(Radio_Edit)_spectrogram.png,Oleja Kaba,Liberation (Radio Edit),Electronic
OnesteP_-_Page_Of_Agony_-_OnesteP_(2) (1)_spectrogram.png,OnesteP - Page Of Agony,OnesteP (2) (1),Electronic
OnesteP_-_Page_Of_Agony_-_OnesteP_(2)_spectrogram.png,OnesteP - Page Of Agony,OnesteP (2),Electronic
One_Hell_of_a_Way_-_The_Devil_Music_Co._(2)_spectrogram.png,One Hell of a Way,The Devil Music Co. (2),Rock
"Only_On_This_Planet_(feat._A_Bit_Advanced_Music,_Paradeigma)_-_Ogi_Feel_the_Beat_spectrogram.png","Only On This Planet (feat. A Bit Advanced Music, Paradeigma) ",Ogi Feel the Beat,Electronic
On_My_Way_-_Kavi_Jezzie_Hockaday_spectrogram.png,On My Way,Kavi Jezzie Hockaday,Folk / Acoustic
On_the_Come_Up_-_Wordsmith_spectrogram.png,On the Come Up,Wordsmith,Hip-Hop
On_The_Weekend_-_Paxton_Pennington_spectrogram.png,On The Weekend,Paxton Pennington,Pop
Open_Space_Soundscape_-_StockXL_spectrogram.png,Open Space Soundscape,StockXL,Ambient
Opportunity_Steals_Your_Love_-_MOGU_spectrogram.png,Opportunity Steals Your Love,MOGU,Electronic
Orange_Juice_-_Sonia_Isabel_spectrogram.png,Orange Juice,Sonia Isabel,Pop
Oscar_Avila_-_Ítaca_spectrogram.png,Oscar Avila,Ítaca,Latin / Instrumental
Ouest___West_-_Mr.Ju_spectrogram.png,Ouest   West,Mr.Ju,Electronic
Outlandish_-_Double-F_The_King_spectrogram.png,Outlandish - Double,F The King,Hip-Hop
Outta_My_League_-_Double-F_The_King_spectrogram.png,Outta My League - Double,F The King,Hip-Hop
Out_Of_The_Blue_-_Explosive_Ear_Candy_spectrogram.png,Out Of The Blue,Explosive Ear Candy,Pop Rock
OUT_OF_THE_WAY_-_David_Ryan_spectrogram.png,OUT OF THE WAY,David Ryan,Rock
Overcloud_-_ChickenBeats_spectrogram.png,Overcloud,ChickenBeats,Electronic
Overcome_Reality_-_freshbodyshop_spectrogram.png,Overcome Reality,freshbodyshop,Rock / Alternative
Oyster_Wave_-_Wakerhouse_spectrogram.png,Oyster Wave,Wakerhouse,Electronic
PacificDrive_-_Heat_Wave_spectrogram.png,PacificDrive,Heat Wave,Electronic / Synthwave
Palmo_X_&_Patiloe_-_Overthink_-_Palmo_X_spectrogram.png,Palmo X & Patiloe - Overthink,Palmo X,Electronic
Palmo_X_-_Forest_Runner_-_Palmo_X (1)_spectrogram.png,Palmo X - Forest Runner,Palmo X (1),Electronic
Palmo_X_-_Forest_Runner_-_Palmo_X_spectrogram.png,Palmo X - Forest Runner,Palmo X,Electronic
Palmo_X_-_Monday_-_Palmo_X_spectrogram.png,Palmo X - Monday,Palmo X,Electronic
Paradeigma_-_We_Choose_Proven_(kbkbts._Remix)_spectrogram.png,Paradeigma,We Choose Proven (kbkbts. Remix),Electronic
Paradeigma_-_Воскресенье_День_Сомнений_(Jukrainian_Remix)_spectrogram.png,Paradeigma,Воскресенье День Сомнений (Jukrainian Remix),Electronic
Paradise_-_Songwriterz_(2)_spectrogram.png,Paradise,Songwriterz (2),Pop
Paranoia_-_Anthony_Rubery_spectrogram.png,Paranoia,Anthony Rubery,Electronic
Paris_Streets_-_JO.BITE_(2)_spectrogram.png,Paris Streets,JO.BITE (2),Pop
Parlami_di_lei_-_Fabio_Confalone_spectrogram.png,Parlami di lei,Fabio Confalone,Pop
Passion_-_DiSantos_spectrogram.png,Passion,DiSantos,Electronic
Past_Life_-_Luzius_Stone_spectrogram.png,Past Life,Luzius Stone,Pop
Perfect_View_-_Klassik_Frescobar_spectrogram.png,Perfect View,Klassik Frescobar,Hip-Hop
Pete_Vyler_-_pete.vyler_spectrogram.png,Pete Vyler,pete.vyler,Electronic
Phonon_-_zeropage_spectrogram.png,Phonon,zeropage,Electronic
Photonnia_-_Inception_spectrogram.png,Photonnia,Inception,Electronic
Pixel_Hunt_-_PaulWernerMusic_spectrogram.png,Pixel Hunt,PaulWernerMusic,Electronic / Chiptune
Pizzy_Walk_-_nicoco_spectrogram.png,Pizzy Walk,nicoco,Electronic
Please_Say_So_(Don't_Leave_Me_in_Silence)_-_Tyler_Gelrud_&_Gerard_Peters_-_Tyler_Gelrud_spectrogram.png,Please Say So (Don't Leave Me in Silence) - Tyler Gelrud & Gerard Peters,Tyler Gelrud,Pop
Plucky_Comedy_-_Geoff_Harvey_spectrogram.png,Plucky Comedy,Geoff Harvey,Instrumental / Comedy
Plushka_-_Dadomu_(feat._JJ.OK)_spectrogram.png,Plushka,Dadomu (feat. JJ.OK),Electronic
Pokki_DJ_-_Addicted_spectrogram.png,Pokki DJ,Addicted,Electronic
PoPiano_1_-_Madi_Composer_spectrogram.png,PoPiano 1,Madi Composer,Instrumental / Piano
Popuri_-_Dal_Studio_spectrogram.png,Popuri,Dal Studio,Instrumental
potatofries_-_my_first_release_-_potatofries_spectrogram.png,potatofries - my first release,potatofries,Electronic
Pourin_Moe_by_The_East_Side_Hustlas_-_cartel_spectrogram.png,Pourin Moe by The East Side Hustlas,cartel,Hip-Hop
Praz_Khanal_-_Mocha___Slap_House_Music_spectrogram.png,Praz Khanal,Mocha   Slap House Music,Electronic / House
Preacher_-_PappyBachelor_(2)_spectrogram.png,Preacher,PappyBachelor (2),Rock
Precious_-_Caeleb_Doughty_spectrogram.png,Precious,Caeleb Doughty,Pop
Proud_-_Wordsmith_spectrogram.png,Proud,Wordsmith,Hip-Hop
"PUETO_PA_LO_MIO_RECORDS_-_CHAKA_CHAKA_I_-_Pueto_pa_lo_mio_records_Presenta_-_Choque_Dineral_(Musica_urbana,_trap,_rap,_hiphop,_dembow)_spectrogram.png",PUETO PA LO MIO RECORDS - CHAKA CHAKA I - Pueto pa lo mio records Presenta," Choque Dineral (Musica urbana, trap, rap, hiphop, dembow)",Latin / Trap
PUETO_PA_LO_MIO_RECORDS_-_JORDAN_23_-_PUETO_PA_LO_MIO_RECORDS_Presenta_spectrogram.png,PUETO PA LO MIO RECORDS - JORDAN 23,PUETO PA LO MIO RECORDS Presenta,Latin / Hip-Hop
PUETO_PA_LO_MIO_RECORDS_-_Los_money_-_Pueto_pa_lo_mio_records_presenta_Neycom_Ft_Choque_Dineral_spectrogram.png,PUETO PA LO MIO RECORDS - Los money,Pueto pa lo mio records presenta Neycom Ft Choque Dineral,Latin / Hip-Hop
Pájaros_de_sueños_-_Soledad_Balbontin_spectrogram.png,Pájaros de sueños,Soledad Balbontin,Latin / Folk
quencíc_-_sundøwn_reverie_spectrogram.png,quencíc,sundøwn reverie,Electronic / Lo-fi
Que_Aquí_Estoy_Yo_-_Alfonso_Lugo_spectrogram.png,Que Aquí Estoy Yo,Alfonso Lugo,Latin / Pop
Que_Viva_La_Salsa_-_Jan_Acendra_Son_Latino_spectrogram.png,Que Viva La Salsa,Jan Acendra Son Latino,Salsa / Latin


Filename,Song Title,Artist,Genre
Rainbow_-_Maya_Filipic_spectrogram.png,Rainbow,Maya Filipic,Instrumental / Piano
RAKETA__-__Electro_Speaker_-_PAKETA_spectrogram.png,RAKETA  -  Electro Speaker,PAKETA,Electronic
Ramble_on_October_-_Barefoot_McCoy_spectrogram.png,Ramble on October,Barefoot McCoy,Folk / Acoustic
RA_unsKrypted_-_Hey_Ma_How_You_spectrogram.png,RA unsKrypted,Hey Ma How You,Hip-Hop
Rebels_With_A_Cause_(Aries)_-_RENAE_spectrogram.png,Rebels With A Cause (Aries),RENAE,Pop / R&B
Reflection_-_The_Hedgerow_Folk_spectrogram.png,Reflection,The Hedgerow Folk,Folk
Regressar_-_Instrumental_Version_-_Marcus_Rasseli_spectrogram.png,Regressar - Instrumental Version,Marcus Rasseli,Instrumental / Ambient
Relaxing_Nature_Music_-_Raw_Vibrations_spectrogram.png,Relaxing Nature Music,Raw Vibrations,Ambient / Nature
