song_name,artist_name,genre
Kung-Fu Funk,Kiff'On,"disco;funk;pop;rnb;"
Miss,Kiff'On,"disco;funk;pop;rnb;"
Jet Set,Kiff'On,"disco;funk;pop;"
Agathe,Kiff'On,"disco;funk;pop;rnb;"
Emptiness,Alexander Blu,"ambient;chillout;downtempo;easylistening;electronic;lounge;"
Concert,Alexander Blu,"ambient;downtempo;easylistening;electronic;lounge;triphop;"
Victory,Alexander Blu,"chillout;downtempo;easylistening;electronic;lounge;"
Love,Alexander Blu,"breakbeat;chillout;downtempo;easylistening;electronic;lounge;"
May,Alexander Blu,"chillout;easylistening;electronic;lounge;techno;"
Nostalgia,Alexander Blu,"ambient;easylistening;electronic;lounge;techno;"
Drop,Alexander Blu,"breakbeat;chillout;easylistening;electronic;lounge;"
Cosmo,Alexander Blu,"ambient;chillout;downtempo;electronic;"
Sea Song,Alexander Blu,"ambient;chillout;easylistening;electronic;lounge;newage;"
Spider,Alexander Blu,"chillout;downtempo;electronic;jazz;"
After all,Alexander Blu,"ambient;chillout;downtempo;electronic;"
Democracy,Alexander Blu,"ambient;chillout;downtempo;electronic;lounge;"
After all (part 2),Alexander Blu,"ambient;chillout;downtempo;easylistening;electronic;lounge;"
Intro,Religionnaire,"electronic;pop;"
The Game,Religionnaire,"electronic;pop;"
Marion in the Morning,Religionnaire,"electronic;pop;"
Fuckin' Sound,Religionnaire,"electronic;pop;"
I Was Just a Looser,Religionnaire,"electronic;pop;"
Lullaby,Religionnaire,"electronic;pop;"
Jonathan,Religionnaire,"electronic;pop;"
Escape From Madness,Religionnaire,"electronic;pop;"
Leave Me, Let Me Die,"electronic;pop;"
En attendant d'aller sur Mars,Both,"rock;"
Axel,Both,"pop;rock;"
Une charogne,Both,"rock;"
I'm leaving,Both,"metal;"
Elles disent,Both,"rock;"
Now or never,Both,"rock;"
La forteresse vide,Both,"pop;rock;"
Quand on a pas ce que l'on aime,Both,"rock;"
In vino veritas,Both,"rock;"
Marion,Religionnaire,"electronic;pop;"
Comfort,Talking Cure,"pop;"
Chanson pour elle,Talking Cure,"pop;"
Mud,Talking Cure,"pop;"
A Song Of Suicide,Talking Cure,"pop;"
A Mediocre Man,Talking Cure,"pop;"
A Grain Of Sand,Talking Cure,"pop;"
A Rolling Stone,Talking Cure,"pop;"
Freundliche Welt,Talking Cure,"pop;"
Interlude,Talking Cure,"classical;"
Hausarbeit,Talking Cure,"electronic;"
So Sad Monday,Talking Cure,"industrial;rock;"
fuori senso,Pull My Daisy (Ex Lillian Gish),"electronic;rock;"
tagliamento,Pull My Daisy (Ex Lillian Gish),"electronic;rock;"
norman mailer (two things among an infinity of others),Pull My Daisy (Ex Lillian Gish),"electronic;rock;"
of grace and favour #2,Pull My Daisy (Ex Lillian Gish),"rock;"
yellow cake & velvet crash,Pull My Daisy (Ex Lillian Gish),"electronic;instrumentalrock;"
tense : tense,Pull My Daisy (Ex Lillian Gish),"electronic;instrumentalrock;"
a story swept,Pull My Daisy (Ex Lillian Gish),"electronic;rock;"
tense : dirty,Pull My Daisy (Ex Lillian Gish),"electronic;instrumentalrock;"
of grace and favour #1,Pull My Daisy (Ex Lillian Gish),"rock;"
Slap Violin,L'Onomatopeur,"electronic;"
Rekium,L'Onomatopeur,"electronic;"
Who Loves My 8-Bits,L'Onomatopeur,"electronic;"
Porno Adesif,L'Onomatopeur,"electronic;"
Mic Jager,L'Onomatopeur,"electronic;"
depravation (ninja14500 mix),01zu,"electronic;minimal;"
Milky Way,SEBRIDER,"alternative;electronic;experimental;"
Mysterious Cromleck,SEBRIDER,"easylistening;electronic;"
Over the Sea,SEBRIDER,"alternative;electronic;experimental;"
La vie des bêtes,AS-POTIRONT!,"pop;poprock;rock;ska;"
Anastasia,AS-POTIRONT!,"pop;poprock;rock;"
Visite champêtre,AS-POTIRONT!,"pop;poprock;"
Texto,AS-POTIRONT!,"pop;poprock;rock;ska;"
Le Bal des pendus,AS-POTIRONT!,"pop;poprock;"
Kezistorus,Binary Mind,"alternative;electronic;experimental;"
Interstellar Space,SEBRIDER,"electronic;"
Kingdom of Tears,SEBRIDER,"ambient;easylistening;"
Sirens' Melody,SEBRIDER,"easylistening;"
WawWaw,nino,"electronic;"
Intro,Manuzik,"drumnbass;electronic;triphop;"
FatBackBeat,Manuzik,"drumnbass;electronic;triphop;"
SurfSurLaPlage,Manuzik,"drumnbass;electronic;funk;rnb;triphop;"
GoodMood,Manuzik,"drumnbass;electronic;triphop;"
TripToJazz,Manuzik,"drumnbass;easylistening;electronic;lounge;triphop;"
Yeah, Yeah,"drumnbass;electronic;rnb;soul;triphop;"
Pseudauthentique,Manuzik,"drumnbass;electronic;triphop;"
La sixième porte de Shanaaghar,Greg Baumont,"ambient;chillout;electronic;fusion;lounge;newage;"
Le nettoyeur,Greg Baumont,"chillout;fusion;soundtrack;"
The blue star,Greg Baumont,"electronic;electropop;pop;"
Respire ! (The dervish),Greg Baumont,"ambient;chillout;fusion;lounge;world;"
Why,Greg Baumont,"electronic;ethno;world;"
The new day,Greg Baumont,"ambient;chillout;fusion;triphop;world;"
Why (Trance remix by Ilya Malyuev),Greg Baumont,"ambient;electronic;trance;world;"
La face cachée de la lune,Greg Baumont,"chillout;electronic;"
Les chevaliers de l'Aar,Greg Baumont,"classical;electronic;orchestral;soundtrack;"
Païdium,Boris & Maxime,"instrumentalpop;pop;"
Taniouchka,Boris & Maxime,"instrumentalpop;pop;"
Cégovnia,Boris & Maxime,"instrumentalpop;pop;"
La note en cage,AdHoc,"funk;jazz;"
Péninsule,AdHoc,"funk;jazz;"
Sumbala,AdHoc,"funk;jazz;world;worldfusion;"
L'agonie de l'inspecteur C,AdHoc,"alternative;experimental;funk;jazz;"
Retard,AdHoc,"funk;jazz;"
Rendez-vous au .org,AdHoc,"funk;jazz;"
Série B,AdHoc,"funk;jazz;"
No border,AdHoc,"funk;jazz;"
Earth,David Schombert,"easylistening;instrumentalpop;"
Lagoon,David Schombert,"easylistening;electronic;"
Cadillac horizon,David Schombert,"easylistening;electronic;lounge;"
Nebulae,David Schombert,"easylistening;electronic;"
Le miracle de la vie,David Schombert,"ambient;easylistening;"
L'Exil des arbres - part 2,David Schombert,"ambient;easylistening;"
Background3,David Schombert,"ambient;easylistening;"
Voyage vers l'infini,David Schombert,"ambient;easylistening;"
L'Eveil,David Schombert,"easylistening;electronic;"
Hommage,David Schombert,"easylistening;"
Miniature,David Schombert,"jazz;"
L'Exil des arbres - part 1,David Schombert,"ambient;easylistening;"
Small Boat,David Schombert,"easylistening;instrumentalpop;"
La symphonie du vide,David Schombert,"ambient;easylistening;"
Background2,David Schombert,"ambient;easylistening;"
Family bonds,Sköhl Offensrüh,"grunge;rock;"
Sperm maker,Sköhl Offensrüh,"grunge;rock;"
On the other side,Sköhl Offensrüh,"grunge;rock;"
Lost into my ass,Sköhl Offensrüh,"experimental;grunge;rock;"
Part one,Astreiness,"alternative;experimental;"
Part two,Astreiness,"alternative;experimental;"
Part three,Astreiness,"alternative;experimental;"
Part four,Astreiness,"alternative;experimental;"
Dumb funk,Man-machine connexion,"electronic;minimal;"
Dance #3,Man-machine connexion,"electronic;minimal;"
Dance #6,Man-machine connexion,"electronic;minimal;"
Selection,Neural,"alternative;electronic;experimental;"
Data transmission,Neural,"alternative;electronic;experimental;"
Mass production,Neural,"alternative;electronic;experimental;"
Le pont du petit parc,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
La valse des heures,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
Mes amis,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
La ballade décatie,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
La jeune fille en vert,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
Valse anémiée,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
La fausse note,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
La cascade du bois de Vincennes,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
Le blues de la vache,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
Le cowboy déraciné,Le Collectif Unifié de la Crécelle,"folk;instrumentalpop;"
number01,Auto/Sexual,"alternative;electronic;experimental;"
number02,Auto/Sexual,"alternative;electronic;experimental;"
number03,Auto/Sexual,"alternative;electronic;experimental;"
number04,Auto/Sexual,"alternative;electronic;experimental;"
number05,Auto/Sexual,"alternative;electronic;experimental;"
number06,Auto/Sexual,"alternative;electronic;experimental;"
Hyperbolic dream,Hallu,"alternative;electronic;experimental;"
Volcanism,Hallu,"alternative;electronic;experimental;"
Living in the south,Hallu,"alternative;electronic;experimental;"
Iron balls,Hallu,"alternative;electronic;experimental;"
A scrappy education,Hallu,"alternative;electronic;experimental;"
Annoying children,Hallu,"alternative;electronic;experimental;"
Black vegetables,Hallu,"alternative;electronic;experimental;"
Curvature,Hallu,"alternative;electronic;experimental;"
Green lines,Hallu,"alternative;electronic;experimental;"
Old books smell,Hallu,"alternative;electronic;experimental;"
Beaming with joy,Hallu,"alternative;electronic;experimental;"
De toute Façon,XeMa,"chanson;"
Un gentil GI,XeMa,"chanson;popfolk;"
Irremplaçable,XeMa,"chanson;"
Perdure à l'usure,XeMa,"chanson;"
Beach paradise,XeMa,"ambient;chanson;"
Soutien Divin,XeMa,"chanson;popfolk;"
Brandon,XeMa,"chanson;popfolk;"
Sous le soleil Jamaique,DRDJEKILL,"pop;"
Amour pas touche,DRDJEKILL,"pop;"
Toi, fais ce que tu voudras,"pop;"
C'était un ami,DRDJEKILL,"electronic;"
Il importe de n'être rien,DRDJEKILL,"pop;"
I love you and you love me,DRDJEKILL,"pop;"
J'm'imaginais (version française),DRDJEKILL,"pop;"
Dance to the moon,Hallu,"alternative;electronic;experimental;"
Universe,Hallu,"alternative;electronic;experimental;"
Synthesis minor,Hallu,"alternative;electronic;experimental;"
Mystic light,The 17 Sons of Abraxas,"electronic;minimal;"
Deep Space Six,Amalfi,"ambient;"
Global strategy for spreading happyness,Mihidea,"alternative;electronic;experimental;"
Ouverture,Manuzik,"drumnbass;easylistening;electronic;triphop;"
GuitarOutlook,Manuzik,"drumnbass;electronic;triphop;"
Habanera,Manuzik,"drumnbass;electronic;triphop;world;"
JazzProg,Manuzik,"drumnbass;electronic;triphop;"
SummerInTokyo(SemiMix),Manuzik,"drumnbass;electronic;triphop;"
Electroballade,Manuzik,"drumnbass;electronic;triphop;"
Oia,Manuzik,"drumnbass;easylistening;electronic;triphop;"
Ambience,Manuzik,"alternative;drumnbass;electronic;experimental;triphop;"
OldSchool,Manuzik,"drumnbass;electronic;triphop;"
MovingFrequencies,Manuzik,"drumnbass;electronic;triphop;"
FromTheDarkSide,Manuzik,"drumnbass;electronic;triphop;"
Sortie,Manuzik,"drumnbass;electronic;triphop;"
Hey Girl,Mel's,"pop;"
Un Sentier,Mel's,"pop;rock;"
Une Nuit,Mel's,"pop;"
Traverse le Temps,Mel's,"pop;"
Hey Girl (english version),Mel's,"pop;"
Générique 2,Religionnaire,"electronic;pop;"
Peak,Boris & Maxime,"instrumentalpop;pop;"
Balade Sarthoise,Boris & Maxime,"instrumentalpop;pop;"
Univers lisse,David TMX,"metal;"
Nicht rauchen,David TMX,"metal;"
Conférie médiocritas,David TMX,"metal;"
TMX, Paris,"metal;"
Alava comme j'te pousse,David TMX,"metal;"
Le ridicule ne tue pas,David TMX,"metal;"
4 degrés 7,David TMX,"metal;"
Bourré de longue date,David TMX,"metal;"
L'appel de la gazelle,David TMX,"metal;"
Pour un monde meilleur,David TMX,"metal;"
John Kafé disjoncte,David TMX,"metal;"
L'aube lunaire,David TMX,"metal;"
Gum Man,humeka,"electronic;minimal;techno;"
Agent Entropique,humeka,"electronic;minimal;techno;"
W2K,humeka,"electronic;house;minimal;techno;"
Flux,humeka,"electronic;minimal;techno;"
Dub Test,humeka,"dub;electronic;minimal;techno;"
Me Theory,humeka,"electronic;house;minimal;techno;"
The Sound,humeka,"electronic;house;minimal;techno;"
Shift,humeka,"electronic;minimal;techno;"
Ehkii,humeka,"electronic;minimal;techno;"
Blind Alley,humeka,"ambient;electronic;minimal;techno;"
Dive,humeka,"dub;electronic;minimal;techno;"
marked by death,Liquid concept,"alternative;electronic;experimental;"
Générique Début,Grégoire Lourme,"easylistening;electronic;lounge;"
Home Sweet Home,Grégoire Lourme,"easylistening;electronic;lounge;"
Le Viol/Madame X/Vol De Voiture,Grégoire Lourme,"easylistening;electronic;lounge;"
Souvenirs De Guerre/Le Vieux Fort,Grégoire Lourme,"easylistening;electronic;lounge;"
Le Parking,Grégoire Lourme,"easylistening;electronic;lounge;"
Poursuite En Voiture,Grégoire Lourme,"easylistening;electronic;lounge;"
Arrivée Au Fort,Grégoire Lourme,"easylistening;electronic;lounge;"
Les Méchants Arrivent,Grégoire Lourme,"easylistening;electronic;lounge;"
Ludo Au Rapport,Grégoire Lourme,"easylistening;electronic;lounge;"
Tir Au Pigeon,Grégoire Lourme,"easylistening;electronic;lounge;"
Le Repli Du Sniper,Grégoire Lourme,"easylistening;electronic;lounge;"
La Folie,Grégoire Lourme,"easylistening;electronic;lounge;"
Duel,Grégoire Lourme,"easylistening;electronic;lounge;"
La Tragédie,Grégoire Lourme,"easylistening;electronic;lounge;"
Inspection,Grégoire Lourme,"easylistening;electronic;lounge;"
La Mauvaise Nouvelle,Grégoire Lourme,"easylistening;electronic;lounge;"
Animals run,Chroma,"electronic;"
Istanbul Engloutie,Rafiralfiro,"electronic;world;worldfusion;"
Ta! (tango agitato),Rafiralfiro,"electronic;"
Au commencement,Rafiralfiro,"electronic;"
Walk then Run,Rafiralfiro,"alternative;electronic;experimental;"
Bad Trip à Barbès,Rafiralfiro,"electronic;triphop;"
If It Ain't Natural....part1 ( aquarium émancipé ),Rafiralfiro,"electronic;"
If It Ain't Natural....part2 ( dubing out ),Rafiralfiro,"electronic;triphop;"
Introspection,Rafiralfiro,"electronic;"
Badala !,Rafiralfiro,"electronic;"
Elixir ( ft. Lire-X ),Rafiralfiro,"electronic;hiphop;"
Ron y Mate,Rafiralfiro,"electronic;"
Morena,Rafiralfiro,"electronic;triphop;"
Duke,Rafiralfiro,"electronic;fusion;jazz;"
Partir,Rafiralfiro,"electronic;"
Berceuse,Rafiralfiro,"alternative;electronic;experimental;"
Welcome to AB Smoke's Jazz Club,Rafiralfiro,"electronic;jazz;"
Une Petite Bouchée?,Rafiralfiro,"electronic;"
l'âne au piquet,thelinks,"jazz;"
strip tease,thelinks,"jazz;"
jeromino,thelinks,"jazz;"
destructuration,thelinks,"jazz;"
P-F-M,FOXAPET,"disco;funk;groove;rnb;"
SEX IT UP,FOXAPET,"disco;funk;groove;rnb;"
FEEL THE GROOVE,FOXAPET,"disco;funk;groove;rnb;"
MUSIC,FOXAPET,"disco;funk;groove;rnb;"
LE MONDE EST "AFFAIRES",DRDJEKILL,"pop;"
BONNE CHANCE,DRDJEKILL,"pop;"
DIS-MOI,DRDJEKILL,"pop;"
HISTOIRE D'UN SOIR,DRDJEKILL,"pop;"
UN DERNIER VERRE,DRDJEKILL,"pop;"
Deew,deEjAyWaRnEr,"electronic;jazz;"
Je vais bien,El Manu,"pop;popfolk;"
Capotes à un Franc,El Manu,"pop;popfolk;"
La mort de Dieu,El Manu,"pop;popfolk;"
Le Temps,El Manu,"pop;popfolk;"
Egoïste,El Manu,"pop;"
Le Vent,El Manu,"pop;rock;"
Pipi sous la pluie,El Manu,"pop;popfolk;"
Copain-Copine,El Manu,"pop;popfolk;"
Pas là, non,"pop;popfolk;"
Un,DIY-note,"alternative;electronic;experimental;postrock;rock;"
Le noir et la rage,DIY-note,"alternative;electronic;experimental;postrock;rock;"
La bicyclette,DIY-note,"alternative;electronic;experimental;postrock;rock;"
Chowbiz,DIY-note,"alternative;electronic;experimental;postrock;rock;"
Trilogy,DIY-note,"alternative;electronic;experimental;postrock;rock;"
No way,DIY-note,"alternative;electronic;experimental;postrock;rock;"
El despertar,DIY-note,"alternative;electronic;experimental;postrock;rock;"
Palika Bazaar,DIY-note,"alternative;electronic;experimental;postrock;rock;"
Conte écourté,DIY-note,"alternative;electronic;experimental;postrock;rock;"
Endless night,DIY-note,"alternative;electronic;experimental;postrock;rock;"
Raining outside,DIY-note,"alternative;electronic;experimental;postrock;rock;"
Hero,David Schombert,"electronic;pop;"
Down,David Schombert,"easylistening;electronic;"
Chocolat,David Schombert,"easylistening;electronic;lounge;"
Film,David Schombert,"dance;electronic;"
Jingle,David Schombert,"dance;electronic;"
Y2K,David Schombert,"blues;dance;"
Pseudo,David Schombert,"easylistening;electronic;lounge;"
Astro,David Schombert,"easylistening;electronic;"
Unesco,David Schombert,"electronic;"
Technoland,David Schombert,"dance;electronic;"
Groove,David Schombert,"easylistening;electronic;"
FreeParty,David Schombert,"electronic;techno;"
BigBeat,David Schombert,"electronic;"
Dance de la pluie,David Schombert,"easylistening;electronic;"
Urban,David Schombert,"electronic;"
Nature song,Alexander Blu,"ambient;easylistening;electronic;lounge;world;"
By night,Alexander Blu,"ambient;chillout;easylistening;electronic;lounge;"
Man with long hair,Alexander Blu,"ambient;electronic;funk;fusion;instrumentalpop;pop;"
Moderato,Alexander Blu,"chillout;downtempo;electronic;lounge;"
Jan song,Alexander Blu,"ambient;chillout;downtempo;easylistening;electronic;lounge;"
Slow mind,Alexander Blu,"ambient;chillout;easylistening;electronic;lounge;"
Teacher,Alexander Blu,"ambient;electronic;newage;triphop;"
East,Alexander Blu,"easylistening;electronic;ethno;lounge;newage;world;"
Electro blues,Alexander Blu,"blues;downtempo;electronic;lounge;newage;pop;"
Instrumental,Alexander Blu,"downtempo;electronic;lounge;newage;world;"
Childhood (lullaby),Alexander Blu,"ambient;chillout;easylistening;"
New day,Alexander Blu,"ambient;easylistening;instrumentalpop;newage;"
Independent,Alexander Blu,"ambient;downtempo;electronic;lounge;pop;"
What Cool,Tom La Meche,"blues;easylistening;electronic;funk;jazz;lounge;"
Orientale,Tom La Meche,"ambient;easylistening;electronic;ethno;jazz;lounge;"
Pan,Tom La Meche,"easylistening;electronic;jazz;lounge;world;"
Transe formation,Tom La Meche,"fusion;jazz;world;"
Voyageur,Tom La Meche,"easylistening;electronic;fusion;jazz;lounge;"
Souvenir,Tom La Meche,"classical;easylistening;electronic;jazz;lounge;"
Rêve,Tom La Meche,"jazz;world;"
Réveil,Tom La Meche,"easylistening;jazz;lounge;"
Rencontre du 7ième type,Tom La Meche,"easylistening;electronic;jazz;lounge;"
Groovy E-T Funk,Tom La Meche,"easylistening;electronic;funk;jazz;lounge;"
The Virtual Car,Tom La Meche,"improvisation;jazz;lounge;"
Indian Dream,Tom La Meche,"improvisation;jazz;lounge;"
Roulade,Tom La Meche,"improvisation;jazz;"
Bleu Nuit,Tom La Meche,"blues;improvisation;jazz;lounge;"
Gros Papa noël,Tom La Meche,"classical;jazz;lounge;"
Novembre,Tom La Meche,"improvisation;jazz;"
01 Les Jardins Japonais,Sans Bagage,"chanson;pop;progressive;rock;"
02 J'Attends mon Tour,Sans Bagage,"chanson;pop;progressive;rock;"
03 La Laisse,Sans Bagage,"chanson;pop;progressive;rock;"
04 Météo Marine,Sans Bagage,"chanson;pop;progressive;rock;"
05 L'Irlandaise,Sans Bagage,"chanson;pop;progressive;rock;"
06 Prêtes moi tes Lunettes,Sans Bagage,"chanson;pop;progressive;rock;"
07 Roissy,Sans Bagage,"chanson;pop;progressive;rock;"
08 Adieu,Sans Bagage,"chanson;pop;progressive;rock;"
09 Le Temps des Cerfs Volants,Sans Bagage,"chanson;pop;progressive;rock;"
Space patrol,Urmal Vesnat,"alternative;electronic;experimental;"
Cellule,Silence,"electronic;"
Réalité,Silence,"easylistening;electronic;lounge;"
Stop!,Silence,"electronic;"
Expérience,Silence,"alternative;electronic;experimental;"
Effacé,Silence,"easylistening;electronic;lounge;"
Sale,Silence,"electronic;triphop;"
Particule,Silence,"easylistening;electronic;lounge;"
Larmes,Silence,"electronic;triphop;"
Follow me,Silence,"electronic;"
 after death,Silence Abstrait,"electronic;"
 mr psyko,Silence Abstrait,"electronic;"
 003,5,"electronic;"
 all My flesh around you and in your ass,Silence Abstrait,"electronic;"
Sunny voices,The shining men,"alternative;electronic;experimental;"
Linstru,Systylé,"instrumentalrock;rock;ska;"
Bahbushska,Systylé,"pop;rock;ska;"
Fait néant,Systylé,"pop;world;"
J'ai connu des man,Systylé,"pop;rock;ska;"
Communication,Systylé,"pop;reggae;"
Wandering heart,Xcyril,"electronic;minimal;soundtrack;"
I need her but...,Xcyril,"easylistening;electronic;soundtrack;"
We are not compatible,Xcyril,"easylistening;electronic;soundtrack;"
Impossible choice,Xcyril,"easylistening;electronic;soundtrack;"
The shouting of the animal,Xcyril,"electronic;soundtrack;"
In Morpheus' Arms,Xcyril,"easylistening;electronic;soundtrack;"
Painful alarm clock at the cucurbitaceous ones,Xcyril,"electronic;soundtrack;"
Return to the house,Xcyril,"electronic;lounge;soundtrack;"
I am fed up there,Xcyril,"electronic;lounge;soundtrack;"
Inertia,The TenGooz,"pop;"
Let It Slide(Pop),The TenGooz,"pop;"
Stranger(Poppy Rocker),The TenGooz,"pop;"
Infatuation(Funky-Soul),The TenGooz,"pop;"
Face to Face(Rock),The TenGooz,"pop;"
Kanashibari(creepy reggae),The TenGooz,"pop;"
Bombs Away(Funk),The TenGooz,"funk;rnb;"
BARRY WHITE,MARC SEHN,"funk;soul;"
LIBERTE, LIBERTE,"pop;"
CINEMA,DRDJEKILL,"pop;"
MARIE-JEANNE,DRDJEKILL,"pop;"
GIL' S LOVER,DRDJEKILL,"pop;"
CHOSE ETRANGE,DRDJEKILL,"pop;"
Strange Chord(Crazy Blues),The TenGooz,"funk;rnb;soul;"
Picture Perfect(Soulfull funk),The TenGooz,"funk;rnb;soul;"
Running(Reggae and Ska),The TenGooz,"funk;rnb;soul;"
Clear Skies(Happy Pop),The TenGooz,"funk;rnb;soul;"
Neo gay bird,Xtremist,"alternative;electronic;experimental;"
Formating desires,Xtremist,"alternative;electronic;experimental;"
Industrial myst,Xtremist,"alternative;electronic;experimental;"
25 Bombes,ZAMALA,"pop;reggae;"
Earthmen,ZAMALA,"reggae;"
Jobi Joba,ZAMALA,"popfolk;reggae;"
Valse,ZAMALA,"classical;contemporary;"
L'or de la terre,ZAMALA,"reggae;"
Sunshine,ZAMALA,"reggae;"
Spirit,ZAMALA,"reggae;"
Fallin,ZAMALA,"reggae;"
Earthmen (Version Dub),ZAMALA,"reggae;"
Ma Bulle,ZAMALA,"reggae;"
The curse,Liquid concept,"electronic;"
Cars and girls,Liquid concept,"alternative;electronic;experimental;"
Save our souls,Liquid concept,"alternative;electronic;experimental;"
Bolding,Mobyl,"alternative;electronic;experimental;"
Vari nush,Mobyl,"alternative;electronic;experimental;"
Show me the way,Mobyl,"alternative;electronic;experimental;"
Track 01,BOOSTIE,"electronic;"
Track 02,BOOSTIE,"electronic;"
Track 03,BOOSTIE,"electronic;"
Track 04,BOOSTIE,"electronic;"
Track 05,BOOSTIE,"electronic;"
Track 06,BOOSTIE,"electronic;"
Track 07,BOOSTIE,"electronic;"
Track 08,BOOSTIE,"electronic;"
Track 09,BOOSTIE,"electronic;"
Track 010,BOOSTIE,"electronic;"
Track 011,BOOSTIE,"electronic;"
Different Way,Antarhes,"fusion;metal;rock;"
Still Fighting,Antarhes,"fusion;metal;rock;"
Stay Away,Antarhes,"fusion;metal;rock;"
Nowhere,Antarhes,"fusion;metal;rock;"
Voodoo Dream,Antarhes,"fusion;metal;rock;"
She Told me,Antarhes,"fusion;metal;rock;"
Breathin' Again (démo version),Antarhes,"fusion;metal;rock;"
Introduction premier theme,Xcyril,"soundtrack;"
La serenite,Xcyril,"classical;soundtrack;"
La decouverte et la conquete,Xcyril,"soundtrack;"
La mort,Xcyril,"soundtrack;"
La preparation,Xcyril,"soundtrack;"
Reverie,Xcyril,"soundtrack;"
L attente,Xcyril,"soundtrack;"
Introduction deuxieme theme,Xcyril,"soundtrack;"
Suspence dans un film d action,Xcyril,"soundtrack;"
Psychedelique,Xcyril,"soundtrack;"
Elfman 01,Xcyril,"soundtrack;"
Fusion,Cool Cavemen,"alternative;funk;fusion;indie;pop;rnb;"
New Pirates,Cool Cavemen,"alternative;funk;fusion;indie;pop;rnb;"
Melalum,Cool Cavemen,"alternative;funk;fusion;indie;pop;rnb;"
Mystique,Cool Cavemen,"alternative;funk;fusion;indie;pop;rnb;"
Jérémiades,Cool Cavemen,"alternative;funk;fusion;indie;pop;rnb;"
Culture & Co.,Cool Cavemen,"alternative;funk;fusion;indie;pop;rnb;"
The Final Rewind,Tryad,"electronic;pop;"
